"","date","day","month","year","zipcode","city","county","state","n_victims","latitude","longitude","incident_id","count","zip_3digit"
"1",2021-01-09,9,1,2021,"60615","Chicago","Cook County","IL",5,"41.803699000000002",-87.585287,"2021IL19",1,"606"
"2",2021-03-16,16,3,2021,"30324","Atlanta","Fulton County","GA",8,"33.809556000000001",-84.366225,"2021GA316",1,"303"
"3",2021-03-22,22,3,2021,"80305","Boulder","Boulder County","CO",10,"39.983634000000002",-105.251912,"2021CO322",1,"803"
"4",2021-03-31,31,3,2021,"92865","Orange","Orange County","CA",4,"33.835231",-117.853737,"2021CA331",1,"928"
"5",2021-04-15,15,4,2021,"46217","Indianapolis ","Marion County","IN",8,"39.637521",-86.166748,"2021IN415",1,"462"
"6",2021-05-26,26,5,2021,"95110","San Jose","Santa Clara County","CA",9,"37.354115",-121.908625,"2021CA526",1,"951"
"7",2021-11-30,30,11,2021,"48371","Oxford","Oakland County","MI",4,"42.840330999999999",-83.263195,"2021MI1130",1,"483"
"8",2021-12-27,27,12,2021,"80203","Denver","Denver County","CO",5,"39.717677999999999",-104.987565,"2021CO1227",1,"802"
"9",2022-05-14,14,5,2022,"14208","Buffalo ","Erie County","NY",10,"42.909756999999999",-78.852961,"2022NY514",1,"142"
"10",2022-05-24,24,5,2022,"78801","Uvalde","Uvalde County","TX",21,"29.199261",-99.787959,"2022TX524",1,"788"
"11",2022-06-01,1,6,2022,"74136","Tulsa","Tulsa County","OK",4,"36.072814000000001",-95.917624,"2022OK61",1,"741"
"12",2022-07-04,4,7,2022,"60035","Highland Park","Lake County","IL",7,"42.185853000000002",-87.79921,"2022IL74",1,"600"
"13",2022-10-13,13,10,2022,"27604","Raleigh","Wake County","NC",5,"35.812595000000002",-78.535545,"2022NC1013",1,"276"
"14",2022-11-19,19,11,2022,"80917","Colorado Springs","El Paso County","CO",5,"38.880977999999999",-104.758104,"2022CO1119",1,"809"
"15",2022-11-22,22,11,2022,"23320","Chesapeake","City of Chesapeake","VA",6,"36.772621999999998",-76.251284,"2022VA1122",1,"233"
"16",2023-01-21,21,1,2023,"91754","Monterey Park","Los Angeles County","CA",11,"34.062567000000001",-118.123869,"2023CA121",1,"917"
"17",2023-01-23,23,1,2023,"94019","Half Moon Bay","San Mateo County","CA",7,"37.469297
",-122.419734,"2023CA123",1,"940"
"18",2023-03-27,27,3,2023,"37215","Nashville","Davidson County","TN",6,"36.093313999999999",-86.825245,"2023TN327",1,"372"
"19",2023-04-10,10,4,2023,"40202","Louisville","Jefferson County","KY",5,"38.256256999999998",-85.746071,"2023KY410",1,"402"
"20",2023-05-06,6,5,2023,"75013","Allen","Collin County","TX",8,"33.132682000000003",-96.662071,"2023TX56",1,"750"
"21",2023-07-03,3,7,2023,"19143","Philadelphia","Philadelphia County","PA",5,"39.938639999999999",-75.22967,"2023PA73",1,"191"
"22",2023-07-15,15,7,2023,"30228","Hampton","Henry County","GA",4,"33.387099999999997",-84.283,"2023GA715",1,"302"
"23",2023-10-25,25,10,2023,"04240","Lewiston","Androscoggin County","ME",18,"44.095108000000003",-70.215545,"2023ME1025",1,"042"
